claim_id,date,known_true,criteria_mode,replicate,p,correct_side
trump_2021,"January 21, 2021",False,empty,67,0.36,True
trump_2025,"January 21, 2025",True,paraphrase,95,0.89,True
trump_2025,"January 21, 2025",True,omitted,51,0.7,True
trump_2025,"January 21, 2025",True,empty,52,0.8,True
trump_2021,"January 21, 2021",False,paired,14,0.16,True
trump_2025,"January 21, 2025",True,true_only,39,0.87,True
trump_2025,"January 21, 2025",True,paired,98,0.82,True
trump_2025,"January 21, 2025",True,paired,92,0.82,True
trump_2025,"January 21, 2025",True,omitted,67,0.68,True
trump_2021,"January 21, 2021",False,true_only,84,0.37,True
trump_2021,"January 21, 2021",False,empty,55,0.37,True
trump_2025,"January 21, 2025",True,true_only,2,0.82,True
trump_2025,"January 21, 2025",True,paired,37,0.82,True
trump_2021,"January 21, 2021",False,omitted,24,0.28,True
trump_2025,"January 21, 2025",True,true_only,46,0.83,True
trump_2021,"January 21, 2021",False,true_only,49,0.48,True
trump_2021,"January 21, 2021",False,true_only,93,0.35,True
trump_2025,"January 21, 2025",True,paraphrase,32,0.9,True
trump_2025,"January 21, 2025",True,paired,6,0.81,True
trump_2025,"January 21, 2025",True,true_only,55,0.84,True
trump_2025,"January 21, 2025",True,empty,56,0.78,True
trump_2021,"January 21, 2021",False,false_only,53,0.07,True
trump_2021,"January 21, 2021",False,omitted,87,0.26,True
trump_2021,"January 21, 2021",False,paired,11,0.22,True
trump_2025,"January 21, 2025",True,true_only,44,0.84,True
trump_2025,"January 21, 2025",True,omitted,96,0.68,True
trump_2021,"January 21, 2021",False,true_only,28,0.34,True
trump_2021,"January 21, 2021",False,true_only,16,0.36,True
trump_2021,"January 21, 2021",False,true_only,11,0.37,True
trump_2021,"January 21, 2021",False,paraphrase,83,0.12,True
trump_2025,"January 21, 2025",True,omitted,50,0.66,True
trump_2021,"January 21, 2021",False,paired,38,0.21,True
trump_2021,"January 21, 2021",False,true_only,94,0.36,True
trump_2021,"January 21, 2021",False,empty,100,0.27,True
trump_2025,"January 21, 2025",True,empty,94,0.77,True
trump_2025,"January 21, 2025",True,paraphrase,31,0.88,True
trump_2021,"January 21, 2021",False,paired,63,0.2,True
trump_2021,"January 21, 2021",False,true_only,68,0.31,True
trump_2025,"January 21, 2025",True,empty,71,0.81,True
trump_2025,"January 21, 2025",True,paired,30,0.82,True
trump_2021,"January 21, 2021",False,omitted,25,0.23,True
trump_2025,"January 21, 2025",True,false_only,65,0.74,True
trump_2021,"January 21, 2021",False,true_only,53,0.42,True
trump_2021,"January 21, 2021",False,true_only,56,0.39,True
trump_2021,"January 21, 2021",False,true_only,92,0.38,True
trump_2021,"January 21, 2021",False,false_only,25,0.07,True
trump_2021,"January 21, 2021",False,paired,30,0.21,True
trump_2025,"January 21, 2025",True,paraphrase,52,0.87,True
trump_2025,"January 21, 2025",True,false_only,33,0.73,True
trump_2021,"January 21, 2021",False,empty,61,0.38,True
trump_2021,"January 21, 2021",False,false_only,8,0.06,True
trump_2025,"January 21, 2025",True,omitted,12,0.71,True
trump_2025,"January 21, 2025",True,paraphrase,6,0.88,True
trump_2021,"January 21, 2021",False,empty,10,0.33,True
trump_2025,"January 21, 2025",True,empty,96,0.78,True
trump_2025,"January 21, 2025",True,omitted,37,0.62,True
trump_2021,"January 21, 2021",False,empty,44,0.43,True
trump_2021,"January 21, 2021",False,true_only,33,0.26,True
trump_2025,"January 21, 2025",True,false_only,38,0.71,True
trump_2025,"January 21, 2025",True,true_only,63,0.84,True
trump_2021,"January 21, 2021",False,false_only,98,0.06,True
trump_2021,"January 21, 2021",False,true_only,78,0.26,True
trump_2025,"January 21, 2025",True,false_only,47,0.71,True
trump_2021,"January 21, 2021",False,paired,88,0.21,True
trump_2025,"January 21, 2025",True,omitted,75,0.7,True
trump_2021,"January 21, 2021",False,empty,58,0.36,True
trump_2025,"January 21, 2025",True,true_only,80,0.84,True
trump_2021,"January 21, 2021",False,empty,38,0.28,True
trump_2025,"January 21, 2025",True,false_only,59,0.71,True
trump_2021,"January 21, 2021",False,true_only,65,0.35,True
trump_2021,"January 21, 2021",False,omitted,11,0.31,True
trump_2025,"January 21, 2025",True,true_only,79,0.85,True
trump_2025,"January 21, 2025",True,omitted,88,0.67,True
trump_2025,"January 21, 2025",True,empty,85,0.77,True
trump_2021,"January 21, 2021",False,paired,1,0.32,True
trump_2021,"January 21, 2021",False,omitted,97,0.28,True
trump_2025,"January 21, 2025",True,paraphrase,74,0.9,True
trump_2025,"January 21, 2025",True,omitted,68,0.7,True
trump_2025,"January 21, 2025",True,false_only,70,0.69,True
trump_2021,"January 21, 2021",False,empty,65,0.34,True
trump_2021,"January 21, 2021",False,false_only,50,0.06,True
trump_2025,"January 21, 2025",True,paraphrase,90,0.9,True
trump_2021,"January 21, 2021",False,paraphrase,1,0.12,True
trump_2025,"January 21, 2025",True,true_only,15,0.85,True
trump_2025,"January 21, 2025",True,false_only,62,0.69,True
trump_2025,"January 21, 2025",True,true_only,87,0.84,True
trump_2021,"January 21, 2021",False,empty,18,0.31,True
trump_2025,"January 21, 2025",True,empty,79,0.77,True
trump_2021,"January 21, 2021",False,true_only,81,0.42,True
trump_2021,"January 21, 2021",False,true_only,27,0.34,True
trump_2025,"January 21, 2025",True,omitted,15,0.68,True
trump_2021,"January 21, 2021",False,paired,95,0.21,True
trump_2025,"January 21, 2025",True,paired,2,0.83,True
trump_2021,"January 21, 2021",False,empty,92,0.28,True
trump_2025,"January 21, 2025",True,omitted,91,0.66,True
trump_2025,"January 21, 2025",True,paraphrase,82,0.88,True
trump_2025,"January 21, 2025",True,paraphrase,85,0.88,True
trump_2025,"January 21, 2025",True,false_only,13,0.72,True
trump_2021,"January 21, 2021",False,omitted,52,0.27,True
trump_2021,"January 21, 2021",False,true_only,59,0.44,True
trump_2021,"January 21, 2021",False,empty,4,0.38,True
trump_2021,"January 21, 2021",False,false_only,60,0.06,True
trump_2025,"January 21, 2025",True,empty,30,0.75,True
trump_2021,"January 21, 2021",False,omitted,66,0.3,True
trump_2021,"January 21, 2021",False,omitted,10,0.25,True
trump_2025,"January 21, 2025",True,paraphrase,10,0.9,True
trump_2021,"January 21, 2021",False,paired,99,0.18,True
trump_2025,"January 21, 2025",True,empty,92,0.76,True
trump_2025,"January 21, 2025",True,empty,31,0.77,True
trump_2021,"January 21, 2021",False,paired,86,0.21,True
trump_2025,"January 21, 2025",True,paraphrase,39,0.88,True
trump_2021,"January 21, 2021",False,paraphrase,57,0.11,True
trump_2021,"January 21, 2021",False,paraphrase,86,0.11,True
trump_2021,"January 21, 2021",False,true_only,48,0.4,True
trump_2025,"January 21, 2025",True,paraphrase,77,0.88,True
trump_2021,"January 21, 2021",False,paired,51,0.3,True
trump_2025,"January 21, 2025",True,omitted,48,0.7,True
trump_2025,"January 21, 2025",True,empty,55,0.77,True
trump_2025,"January 21, 2025",True,paraphrase,55,0.88,True
trump_2021,"January 21, 2021",False,paired,73,0.22,True
trump_2021,"January 21, 2021",False,omitted,83,0.31,True
trump_2021,"January 21, 2021",False,paraphrase,51,0.1,True
trump_2021,"January 21, 2021",False,false_only,85,0.07,True
trump_2021,"January 21, 2021",False,omitted,40,0.27,True
trump_2025,"January 21, 2025",True,empty,75,0.8,True
trump_2021,"January 21, 2021",False,paraphrase,69,0.15,True
trump_2021,"January 21, 2021",False,empty,42,0.38,True
trump_2025,"January 21, 2025",True,empty,78,0.78,True
trump_2025,"January 21, 2025",True,false_only,48,0.69,True
trump_2021,"January 21, 2021",False,empty,66,0.38,True
trump_2021,"January 21, 2021",False,omitted,72,0.24,True
trump_2025,"January 21, 2025",True,empty,93,0.77,True
trump_2021,"January 21, 2021",False,empty,46,0.39,True
trump_2021,"January 21, 2021",False,paired,22,0.22,True
trump_2025,"January 21, 2025",True,paired,77,0.82,True
trump_2025,"January 21, 2025",True,paired,95,0.82,True
trump_2021,"January 21, 2021",False,paraphrase,39,0.12,True
trump_2025,"January 21, 2025",True,paraphrase,33,0.85,True
trump_2021,"January 21, 2021",False,omitted,34,0.24,True
trump_2025,"January 21, 2025",True,empty,95,0.79,True
trump_2025,"January 21, 2025",True,true_only,91,0.85,True
trump_2025,"January 21, 2025",True,omitted,19,0.71,True
trump_2021,"January 21, 2021",False,omitted,65,0.27,True
trump_2025,"January 21, 2025",True,paired,62,0.84,True
trump_2025,"January 21, 2025",True,false_only,49,0.74,True
trump_2025,"January 21, 2025",True,paraphrase,12,0.9,True
trump_2021,"January 21, 2021",False,paraphrase,65,0.15,True
trump_2021,"January 21, 2021",False,false_only,88,0.06,True
trump_2021,"January 21, 2021",False,paraphrase,14,0.1,True
trump_2025,"January 21, 2025",True,false_only,19,0.7,True
trump_2025,"January 21, 2025",True,false_only,10,0.73,True
trump_2025,"January 21, 2025",True,true_only,8,0.84,True
trump_2021,"January 21, 2021",False,empty,60,0.38,True
trump_2025,"January 21, 2025",True,true_only,13,0.86,True
trump_2025,"January 21, 2025",True,omitted,26,0.65,True
trump_2021,"January 21, 2021",False,false_only,79,0.06,True
trump_2021,"January 21, 2021",False,paired,32,0.21,True
trump_2025,"January 21, 2025",True,false_only,85,0.71,True
trump_2025,"January 21, 2025",True,paraphrase,92,0.89,True
trump_2021,"January 21, 2021",False,empty,85,0.34,True
trump_2025,"January 21, 2025",True,empty,98,0.76,True
trump_2025,"January 21, 2025",True,paired,80,0.81,True
trump_2025,"January 21, 2025",True,paraphrase,34,0.88,True
trump_2021,"January 21, 2021",False,omitted,54,0.24,True
trump_2021,"January 21, 2021",False,true_only,22,0.35,True
trump_2025,"January 21, 2025",True,empty,42,0.79,True
trump_2025,"January 21, 2025",True,omitted,8,0.69,True
trump_2021,"January 21, 2021",False,true_only,20,0.29,True
trump_2025,"January 21, 2025",True,paired,38,0.82,True
trump_2025,"January 21, 2025",True,empty,15,0.77,True
trump_2025,"January 21, 2025",True,empty,90,0.77,True
trump_2025,"January 21, 2025",True,paraphrase,17,0.89,True
trump_2025,"January 21, 2025",True,omitted,87,0.7,True
trump_2025,"January 21, 2025",True,false_only,21,0.71,True
trump_2021,"January 21, 2021",False,empty,32,0.42,True
trump_2021,"January 21, 2021",False,true_only,63,0.34,True
trump_2021,"January 21, 2021",False,omitted,29,0.25,True
trump_2025,"January 21, 2025",True,false_only,54,0.7,True
trump_2021,"January 21, 2021",False,paraphrase,38,0.11,True
trump_2025,"January 21, 2025",True,paired,94,0.84,True
trump_2025,"January 21, 2025",True,empty,41,0.77,True
trump_2021,"January 21, 2021",False,empty,78,0.33,True
trump_2021,"January 21, 2021",False,paraphrase,95,0.14,True
trump_2025,"January 21, 2025",True,empty,61,0.8,True
trump_2021,"January 21, 2021",False,paired,82,0.22,True
trump_2025,"January 21, 2025",True,omitted,53,0.69,True
trump_2021,"January 21, 2021",False,false_only,1,0.05,True
trump_2021,"January 21, 2021",False,paraphrase,50,0.12,True
trump_2025,"January 21, 2025",True,paraphrase,54,0.9,True
trump_2021,"January 21, 2021",False,paraphrase,60,0.12,True
trump_2021,"January 21, 2021",False,true_only,13,0.37,True
trump_2025,"January 21, 2025",True,true_only,4,0.84,True
trump_2025,"January 21, 2025",True,omitted,2,0.69,True
trump_2025,"January 21, 2025",True,false_only,18,0.7,True
trump_2021,"January 21, 2021",False,paraphrase,100,0.13,True
trump_2021,"January 21, 2021",False,paraphrase,55,0.11,True
trump_2021,"January 21, 2021",False,omitted,23,0.27,True
trump_2025,"January 21, 2025",True,true_only,41,0.86,True
trump_2025,"January 21, 2025",True,paraphrase,58,0.9,True
trump_2025,"January 21, 2025",True,omitted,6,0.73,True
trump_2025,"January 21, 2025",True,true_only,51,0.84,True
trump_2021,"January 21, 2021",False,omitted,80,0.3,True
trump_2021,"January 21, 2021",False,omitted,3,0.23,True
trump_2021,"January 21, 2021",False,true_only,15,0.31,True
trump_2025,"January 21, 2025",True,false_only,71,0.7,True
trump_2025,"January 21, 2025",True,paraphrase,27,0.87,True
trump_2021,"January 21, 2021",False,paired,8,0.23,True
trump_2025,"January 21, 2025",True,empty,3,0.79,True
trump_2021,"January 21, 2021",False,omitted,12,0.23,True
trump_2021,"January 21, 2021",False,false_only,11,0.06,True
