arm,target_id,target_usd,format,template,question,replicate,p,query_mode,factor,value
no_deadline,1m,1000000,M_lower,bitcoin_price_reach,Will Bitcoin's price reach $1m?,1,0.27,batch,,
no_deadline,100m,100000000,comma_dollars,bitcoin_touch,"Will Bitcoin touch 100,000,000 dollars?",1,0.13,batch,,
no_deadline,10m,10000000,million_symbol,bitcoin_hit,Will Bitcoin hit $10 million?,1,0.16,batch,,
no_deadline,100m,100000000,million_USD,bitcoin_touch,Will Bitcoin touch 100 million USD?,1,0.36,batch,,
no_deadline,1m,1000000,million_USD,bitcoin_touch,Will Bitcoin touch 1 million USD?,1,0.34,batch,,
no_deadline,1m,1000000,words_dollars,bitcoin_touch,Will Bitcoin touch one million dollars?,1,0.39,batch,,
no_deadline,10m,10000000,million_USD,one_btc_rise_to,Will one BTC rise to 10 million USD?,1,0.29,batch,,
no_deadline,10m,10000000,M_upper,btc_reach,Will BTC reach $10M?,1,0.21,batch,,
no_deadline,10m,10000000,million_USD,price_bitcoin_hit,Will the price of Bitcoin hit 10 million USD?,1,0.16,batch,,
no_deadline,1m,1000000,comma_symbol,btc_reach,"Will BTC reach $1,000,000?",1,0.29,batch,,
no_deadline,100m,100000000,comma_dollars,one_btc_rise_to,"Will one BTC rise to 100,000,000 dollars?",1,0.13,batch,,
no_deadline,100m,100000000,million_USD,price_bitcoin_hit,Will the price of Bitcoin hit 100 million USD?,1,0.18,batch,,
no_deadline,100m,100000000,M_upper,bitcoin_price_reach,Will Bitcoin's price reach $100M?,1,0.13,batch,,
no_deadline,1m,1000000,comma_symbol,bitcoin_touch,"Will Bitcoin touch $1,000,000?",1,0.33,batch,,
no_deadline,10m,10000000,M_upper,bitcoin_trade_at,Will Bitcoin trade at $10M?,1,0.19,batch,,
no_deadline,1m,1000000,comma_symbol,bitcoin_reach,"Will Bitcoin reach $1,000,000?",1,0.27,batch,,
no_deadline,10m,10000000,comma_dollars,bitcoin_trade_at,"Will Bitcoin trade at 10,000,000 dollars?",1,0.18,batch,,
no_deadline,1m,1000000,comma_symbol,bitcoin_hit,"Will Bitcoin hit $1,000,000?",1,0.29,batch,,
no_deadline,1m,1000000,million_USD,bitcoin_hit,Will Bitcoin hit 1 million USD?,1,0.32,batch,,
no_deadline,1m,1000000,M_upper,bitcoin_reach,Will Bitcoin reach $1M?,1,0.3,batch,,
no_deadline,100m,100000000,M_upper,price_bitcoin_hit,Will the price of Bitcoin hit $100M?,1,0.15,batch,,
no_deadline,1m,1000000,words_dollars,bitcoin_hit,Will Bitcoin hit one million dollars?,1,0.34,batch,,
no_deadline,1m,1000000,words_USD,bitcoin_reach,Will Bitcoin reach one million U.S. dollars?,1,0.42,batch,,
no_deadline,1m,1000000,M_upper,bitcoin_touch,Will Bitcoin touch $1M?,1,0.33,batch,,
no_deadline,1m,1000000,million_symbol,bitcoin_reach,Will Bitcoin reach $1 million?,1,0.3,batch,,
no_deadline,100m,100000000,words_dollars,one_btc_rise_to,Will one BTC rise to one hundred million dollars?,1,0.19,batch,,
no_deadline,10m,10000000,million_USD,bitcoin_reach,Will Bitcoin reach 10 million USD?,1,0.3,batch,,
no_deadline,100m,100000000,M_lower,bitcoin_touch,Will Bitcoin touch $100m?,1,0.28,batch,,
no_deadline,1m,1000000,comma_symbol,bitcoin_trade_at,"Will Bitcoin trade at $1,000,000?",1,0.27,batch,,
no_deadline,10m,10000000,words_dollars,btc_reach,Will BTC reach ten million dollars?,1,0.29,batch,,
no_deadline,10m,10000000,M_lower,btc_reach,Will BTC reach $10m?,1,0.21,batch,,
no_deadline,100m,100000000,words_USD,bitcoin_reach,Will Bitcoin reach one hundred million U.S. dollars?,1,0.36,batch,,
no_deadline,100m,100000000,M_lower,bitcoin_reach,Will Bitcoin reach $100m?,1,0.25,batch,,
no_deadline,1m,1000000,M_lower,bitcoin_touch,Will Bitcoin touch $1m?,1,0.28,batch,,
no_deadline,100m,100000000,comma_symbol,bitcoin_price_reach,"Will Bitcoin's price reach $100,000,000?",1,0.07,batch,,
no_deadline,1m,1000000,comma_symbol,one_btc_rise_to,"Will one BTC rise to $1,000,000?",1,0.33,batch,,
no_deadline,10m,10000000,comma_symbol,price_bitcoin_hit,"Will the price of Bitcoin hit $10,000,000?",1,0.13,batch,,
no_deadline,100m,100000000,M_upper,bitcoin_reach,Will Bitcoin reach $100M?,1,0.27,batch,,
no_deadline,100m,100000000,comma_dollars,bitcoin_hit,"Will Bitcoin hit 100,000,000 dollars?",1,0.15,batch,,
no_deadline,10m,10000000,M_upper,bitcoin_hit,Will Bitcoin hit $10M?,1,0.18,batch,,
no_deadline,1m,1000000,million_USD,one_btc_rise_to,Will one BTC rise to 1 million USD?,1,0.43,batch,,
no_deadline,10m,10000000,comma_dollars,bitcoin_reach,"Will Bitcoin reach 10,000,000 dollars?",1,0.22,batch,,
no_deadline,10m,10000000,M_lower,bitcoin_hit,Will Bitcoin hit $10m?,1,0.22,batch,,
no_deadline,100m,100000000,words_USD,one_btc_rise_to,Will one BTC rise to one hundred million U.S. dollars?,1,0.25,batch,,
no_deadline,1m,1000000,million_USD,price_bitcoin_hit,Will the price of Bitcoin hit 1 million USD?,1,0.33,batch,,
no_deadline,10m,10000000,words_dollars,price_bitcoin_hit,Will the price of Bitcoin hit ten million dollars?,1,0.21,batch,,
no_deadline,1m,1000000,comma_symbol,price_bitcoin_hit,"Will the price of Bitcoin hit $1,000,000?",1,0.25,batch,,
no_deadline,1m,1000000,million_symbol,bitcoin_trade_at,Will Bitcoin trade at $1 million?,1,0.27,batch,,
no_deadline,10m,10000000,words_USD,price_bitcoin_hit,Will the price of Bitcoin hit ten million U.S. dollars?,1,0.24,batch,,
no_deadline,100m,100000000,comma_symbol,bitcoin_trade_at,"Will Bitcoin trade at $100,000,000?",1,0.11,batch,,
no_deadline,10m,10000000,comma_dollars,bitcoin_price_reach,"Will Bitcoin's price reach 10,000,000 dollars?",1,0.14,batch,,
no_deadline,10m,10000000,million_symbol,bitcoin_reach,Will Bitcoin reach $10 million?,1,0.18,batch,,
no_deadline,10m,10000000,M_lower,one_btc_rise_to,Will one BTC rise to $10m?,1,0.22,batch,,
no_deadline,100m,100000000,M_lower,bitcoin_price_reach,Will Bitcoin's price reach $100m?,1,0.14,batch,,
no_deadline,1m,1000000,comma_dollars,one_btc_rise_to,"Will one BTC rise to 1,000,000 dollars?",1,0.37,batch,,
