criteria_mode,spec,qid,replicate,question,p
omitted,nested_threshold,lower,87,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.1
omitted,nested_threshold,higher,87,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.02
omitted,complement,yes,24,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.09
omitted,complement,no,24,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.92
empty,partition,above,88,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.17
empty,partition,not_above,88,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.71
omitted,joint_bounds,one,68,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
omitted,joint_bounds,ten,68,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.03
omitted,joint_bounds,both,68,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.04
empty,complement,yes,97,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.1
empty,complement,no,97,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.83
empty,nested_time,short,61,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.07
empty,nested_time,long,61,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.13
omitted,nested_time,short,37,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.05
omitted,nested_time,long,37,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.09
paired,joint_bounds,one,18,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.21
paired,joint_bounds,ten,18,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.04
paired,joint_bounds,both,18,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.07
empty,complement,yes,92,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.12
empty,complement,no,92,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.8
paired,complement,yes,78,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.2
paired,complement,no,78,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.78
omitted,nested_threshold,lower,100,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
omitted,nested_threshold,higher,100,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.03
omitted,complement,yes,3,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
omitted,complement,no,3,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.92
empty,partition,above,59,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.2
empty,partition,not_above,59,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.71
omitted,nested_time,short,15,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.05
omitted,nested_time,long,15,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.09
paired,nested_time,short,93,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.05
paired,nested_time,long,93,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
omitted,nested_time,short,19,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.05
omitted,nested_time,long,19,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
omitted,joint_bounds,one,92,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.1
omitted,joint_bounds,ten,92,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.03
omitted,joint_bounds,both,92,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.04
omitted,partition,above,54,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.21
omitted,partition,not_above,54,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.76
paired,nested_time,short,83,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.07
paired,nested_time,long,83,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.12
empty,partition,above,76,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.21
empty,partition,not_above,76,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.69
omitted,partition,above,4,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.22
omitted,partition,not_above,4,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.75
omitted,nested_threshold,lower,52,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.08
omitted,nested_threshold,higher,52,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.02
paired,nested_time,short,23,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.05
paired,nested_time,long,23,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
paired,joint_bounds,one,95,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.19
paired,joint_bounds,ten,95,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.05
paired,joint_bounds,both,95,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.06
empty,partition,above,30,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.22
empty,partition,not_above,30,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.72
paired,nested_time,short,68,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.05
paired,nested_time,long,68,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.13
omitted,partition,above,66,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.22
omitted,partition,not_above,66,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.77
paired,partition,above,12,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.22
paired,partition,not_above,12,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.75
paired,partition,above,77,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.23
paired,partition,not_above,77,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.75
empty,nested_threshold,lower,76,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
empty,nested_threshold,higher,76,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.03
paired,joint_bounds,one,98,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.19
paired,joint_bounds,ten,98,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.04
paired,joint_bounds,both,98,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.07
paired,nested_threshold,lower,30,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.13
paired,nested_threshold,higher,30,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.03
